id;androidversion;androidlanguage;deviceinfo;appversion;day;month;year;hour;minute;playername;playerpoints;playercombos;computeralgorithm;computerpoints;computercombos;playerstarted
30387;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;49;HCLBB19A29202826;190;;ShikoGreedyPlayer;210;Fam-Sakura;1
30388;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;51;HCLBB19A29202826;240;;ShikoGreedyPlayer;110;;1
30389;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;52;HCLBB19A29202826;230;Tsukimi I-Pai;ShikoGreedyPlayer;330;Fam-Kiri;0
30390;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;53;HCLBB19A29202826;1060;Matsu-Kiri-Bozu,Fam-Susuki,Shiko;ShikoGreedyPlayer;40;;0
30391;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;55;HCLBB19A29202826;740;Oozan,Hanami I-Pai,Fam-Matsu,Fam-Sakura,Fam-Kiri;ShikoGreedyPlayer;90;;0
30392;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;21;59;HCLBB19A29202826;420;Aotan,Tsukimi I-Pai;ShikoGreedyPlayer;150;;0
30393;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;28;8;2020;22;1;HCLBB19A29202826;170;Fam-Susuki;ShikoGreedyPlayer;310;Fam-Kiri;0
30394;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;17;20;a4efa3c5;370;Hanami I-Pai;RandomPlayer;110;;0
30395;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;19;59;a4efa3c5;120;Fam-Fuji;RandomPlayer;1080;Matsu-Kiri-Bozu,Shiko;0
30396;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;1;a4efa3c5;170;;RandomPlayer;250;Fam-Fuji;1
30397;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;2;a4efa3c5;50;;Greedy;270;;0
30398;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;4;a4efa3c5;220;Fam-Susuki;ExpectiMinimaxPlayer;230;Fam-Kiri;1
30399;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;7;a4efa3c5;110;;RandomPlayer;330;Acata,Tsukimi I-Pai;1
30400;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;9;a4efa3c5;410;Cosan,Fam-Uma;ExpectiMinimaxPlayer;180;Fam-Fuji;0
30401;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;20;10;a4efa3c5;970;Matsu-Kiri-Bozu,Shiko;ShikoGreedyPlayer;160;;0
30402;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;28;8;2020;22;38;5200f387b8f5845f;200;;RandomPlayer;80;;1
30403;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;28;8;2020;22;55;a4efa3c5;360;Ino-Shika-Cho;RandomPlayer;330;Acata;0
30404;28 (9);eng;SM-J530G (j5y17lteub);2.15.0;29;8;2020;4;56;5200f387b8f5845f;290;Hanami I-Pai,Fam-Fuji;RandomPlayer;180;Fam-Momiji;1
